fund_code,fund_name,balanced_return,balanced_xirr,opportunistic_return,aggressive_return,hardcore_return,best_strategy,days
145552,Motilal Oswal Nasdaq 100 Fund of Fund- Direct Plan Growth,86.77143870960849,25.655572481855245,92.52268763947961,99.31828340741238,102.95841725778541,Hardcore,1230
118989,HDFC Mid Cap Fund - Growth Option - Direct Plan,82.93217943869399,24.77657908109588,88.70125515440375,95.50890504930423,99.14435696482464,Hardcore,1230
118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,70.29051030291143,21.761801921470354,74.8627354252987,80.26160680208538,83.14911178264268,Hardcore,1230
147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,68.5276057191198,21.325677521787533,73.2960265081356,78.92698605833516,81.93914054575578,Hardcore,1230
119597,Sundaram Financial Services Opportunities Fund Direct Plan - Growth,60.86977430645365,19.392338489684214,65.81524944562204,71.6505365507842,74.76690509238696,Hardcore,1229
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,61.59019016718052,19.568923032325007,65.61294102210687,70.36092273879181,72.89774598075606,Hardcore,1230
122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,58.93915391593531,18.875687725502548,62.619890172752925,66.96640764254433,69.29205551875334,Hardcore,1229
125354,Axis Small Cap Fund - Direct Plan - Growth,58.56819227469635,18.820596674127525,61.99155153730737,66.03673388824315,68.20162425191356,Hardcore,1234
147623,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,54.99045509417735,17.83389860257634,59.332485526847776,64.46318846522405,67.21177676911137,Hardcore,1230
120505,Axis Midcap Fund - Direct Plan - Growth,55.50065908124024,18.006997600126926,59.16332171334906,63.49257094420131,65.81109127753453,Hardcore,1234
120847,quant ELSS Tax Saver Fund - Growth Option - Direct Plan,55.56412765433916,17.98731511332804,58.65719703023395,62.31420208464134,64.27593154880407,Hardcore,1230
118551,Franklin U.S. Opportunities Equity Active Fund of Funds - Direct - Growth,49.30982217883375,16.217965887288706,53.754376135942515,58.98877205009798,61.78872521842064,Hardcore,1206
118550,Franklin U.S. Opportunities Equity Active Fund of Funds - Direct - IDCW,49.30982217883375,16.217965887288706,53.754376135942515,58.98877205009798,61.78872521842064,Hardcore,1206
135781,Mirae Asset ELSS Tax Saver Fund - Direct Plan - Growth,52.584217629665986,17.18479633084318,55.77750150170697,59.54845002327479,61.5656899657549,Hardcore,1230
118834,Mirae Asset Large & Midcap Fund - Direct Plan - Growth,51.05773104079052,16.768229271945312,54.21957495067906,57.9538975405115,59.9521651116126,Hardcore,1230
125496,SBI Small Cap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),44.94187742440965,15.09688168929751,48.026010337689094,51.670187297374845,53.61977730418239,Hardcore,1235
125497,SBI Small Cap Fund - Direct Plan - Growth,44.939916371077885,15.09632246181893,48.023993904048496,51.66810531986249,53.617660128927135,Hardcore,1235
125307,PGIM India Midcap Fund - Direct Plan - Growth Option,46.48938105045231,15.498526511885355,49.006430122999646,51.98202264988498,53.57776337539528,Hardcore,1230
119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,43.09420707102989,14.566930462703246,46.01485067114645,49.46580889557869,51.31197777163693,Hardcore,1235
125494,SBI Small Cap Fund - Regular Plan - Growth,41.030478561221514,13.96764149682257,43.938693191270076,47.375399514961174,49.214480981457086,Hardcore,1235
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,42.00176947987027,14.216011201474704,44.551845931957295,47.56381125193458,49.17575688297888,Hardcore,1230
120716,UTI Nifty 50 Index Fund - Growth Option- Direct,40.49865529566916,13.778240300225225,43.09773419138965,46.16801464476046,47.81170988786435,Hardcore,1230
119063,HDFC Nifty 50 Index Fund - Direct Plan,40.344453731066196,13.7330909185542,42.93893050661661,46.0037783470003,47.64456996686434,Hardcore,1230
119596,Sundaram Financial Services Opportunities Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),37.552238176641204,12.914228529727936,40.70566731468387,44.4292825784855,46.42137520792545,Hardcore,1229
119065,HDFC BSE Sensex Index Fund - Direct Plan,37.667604324649226,12.94208005441622,40.16871254428606,43.1230484269305,44.70440950383304,Hardcore,1230
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,37.60774918113691,12.92423406504088,40.06526903260096,42.966368386938875,44.51707007265323,Hardcore,1230
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,35.390501109540665,12.284022163755088,38.33661786259205,41.823309508869634,43.69603774295168,Hardcore,1234
120465,Axis Large Cap Fund - Direct Plan - Growth,34.01448055782819,11.864833703970712,36.52748480248727,39.500284395789706,41.09538031246138,Hardcore,1234
118826,Mirae Asset Large Cap Fund Direct IDCW,32.61471514055299,11.410158983805708,34.75422908006488,37.28217363018967,38.636201092406644,Hardcore,1230
120587,ICICI Prudential FMCG Fund - Direct Plan -  Growth,25.818191972871873,9.261755975510527,27.502407619731006,29.485915003475206,30.54058936969333,Hardcore,1229
118835,Mirae Asset Large & Midcap Fund - Direct Plan - IDCW,23.536961639148043,8.519367676566626,25.346609326052544,27.486699361605858,28.635330808343923,Hardcore,1230
118552,Franklin India Credit Risk Fund - Direct - IDCW ,8.877816803209605,6.874238379219479,8.568891560558573,8.267717069978486,8.130072150072632,Balanced,613
