fund_code,fund_name,balanced_return,balanced_xirr,opportunistic_return,aggressive_return,hardcore_return,best_strategy,months
145552,Motilal Oswal Nasdaq 100 Fund of Fund- Direct Plan Growth,85.41402503028512,25.726958301054047,90.52166134481978,96.65082492226136,99.98024711247645,Hardcore,60
118989,HDFC Mid Cap Fund - Growth Option - Direct Plan,81.24695543590474,24.752162114951474,86.44840706776985,92.6901490260081,96.08072490455726,Hardcore,60
118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,68.45923652037081,21.63105376723569,72.59328204228292,77.55413666857748,80.24892189767577,Hardcore,60
147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,67.33938305839953,21.347763301050644,71.63589668856581,76.79171304476526,79.59240341109597,Hardcore,60
119597,Sundaram Financial Services Opportunities Fund Direct Plan - Growth,60.06126798085859,19.46415151011976,64.34107389168328,69.47684098467312,72.26664039321072,Hardcore,60
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,60.511780072219864,19.58295228405375,63.986326316278266,68.15578180914832,70.42067121268265,Hardcore,60
122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,57.8058958120474,18.864856032037903,61.14971255184385,65.16229263959958,67.34196577368911,Hardcore,60
125354,Axis Small Cap Fund - Direct Plan - Growth,57.33006871925574,18.73743782560814,60.44792446022487,64.18935134938774,66.22173138794537,Hardcore,60
147623,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,53.8286581375921,17.78901993257246,57.90660883541222,62.80014967279628,65.45836938693087,Hardcore,60
120505,Axis Midcap Fund - Direct Plan - Growth,54.55556903922377,17.987502351707256,57.77681443789238,61.64230891629463,63.74208369468599,Hardcore,60
120847,quant ELSS Tax Saver Fund - Growth Option - Direct Plan,54.323969573352905,17.924355678982952,57.119570308359094,60.47429119036657,62.29660870651878,Hardcore,60
135781,Mirae Asset ELSS Tax Saver Fund - Direct Plan - Growth,51.798384300901375,17.230147740246217,54.60030440931772,57.962608539417346,59.78904535082948,Hardcore,60
118551,Franklin U.S. Opportunities Equity Active Fund of Funds - Direct - Growth,48.140544856162066,16.206026058722323,51.974693794831495,56.57567252123478,59.07496960718226,Hardcore,60
118550,Franklin U.S. Opportunities Equity Active Fund of Funds - Direct - IDCW,48.140544856162066,16.206026058722323,51.974693794831495,56.57567252123478,59.07496960718226,Hardcore,60
118834,Mirae Asset Large & Midcap Fund - Direct Plan - Growth,50.15703813236738,16.773389048679316,52.90703274215753,56.207026273905655,57.99961535287992,Hardcore,60
125496,SBI Small Cap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),44.10546940139017,15.049442402732142,46.92832798037115,50.31575827514829,52.15584386737291,Hardcore,60
125497,SBI Small Cap Fund - Direct Plan - Growth,44.10356511979294,15.048889691736012,46.9263292924286,50.31364629959144,52.15367035286508,Hardcore,60
125307,PGIM India Midcap Fund - Direct Plan - Growth Option,45.43000485557556,15.432291822829109,47.56914939267553,50.136122837195494,51.53052816508284,Hardcore,60
119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,42.583238104991885,14.605494943243652,45.08484898801547,48.08678204764384,49.71746173435552,Hardcore,60
125494,SBI Small Cap Fund - Regular Plan - Growth,40.279829640389174,13.92548500325122,42.93930068800736,46.130665945149126,47.86424707248542,Hardcore,60
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,41.41183543781561,14.260929961723331,43.585899285275566,46.19477590222746,47.61194344723839,Hardcore,60
120716,UTI Nifty 50 Index Fund - Growth Option- Direct,39.940855521397225,13.824559536851913,42.14249935891591,44.78447196393835,46.21961757654311,Hardcore,60
119063,HDFC Nifty 50 Index Fund - Direct Plan,39.790204617179526,13.779633791138505,41.988255408777825,44.6259163586958,46.058719837663546,Hardcore,60
119596,Sundaram Financial Services Opportunities Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),37.24818012157869,13.01486566793146,39.881935624065044,43.04244222704866,44.75926062866941,Hardcore,60
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,36.94514612719602,12.922840614380837,39.12432067463486,41.739330131561545,43.1598290958179,Hardcore,60
119065,HDFC BSE Sensex Index Fund - Direct Plan,37.14960883455738,12.984951937259837,39.248766911888744,41.76775660468631,43.136096684724514,Hardcore,60
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,35.14532766182113,12.372424431688206,37.666400277897274,40.69168741718864,42.33505327063086,Hardcore,60
120465,Axis Large Cap Fund - Direct Plan - Growth,33.700694099361286,11.925779262955558,35.82408307085515,38.37214983664769,39.756284869917714,Hardcore,60
118826,Mirae Asset Large Cap Fund Direct IDCW,32.374704288481645,11.511926464234524,34.15260846786193,36.28609348311831,37.445023614862535,Hardcore,60
120587,ICICI Prudential FMCG Fund - Direct Plan -  Growth,25.29844729756964,9.237166847281014,26.687251886270495,28.35381739271155,29.259112235716607,Hardcore,60
118835,Mirae Asset Large & Midcap Fund - Direct Plan - IDCW,23.36583820992489,8.595445501792874,24.84427310935999,26.61839498868212,27.582115515721302,Hardcore,60
118552,Franklin India Credit Risk Fund - Direct - IDCW ,8.2469728780578,6.4619422931749755,8.021640680514254,7.793859219953919,7.685809039944558,Balanced,31
